author,title,year,month,date,time,message_data,message,留言日期,message_day,message_time,message_ip,type,Break_word,POS_tags,Topic,Top_words,Probability,Topic_28,Top_words_28,Probability_28
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,10:22,2022/6/14,給尼悶最後一次上車的機會tothemoon,2022/06 / 14 ,6月14日,10:22,118.161.217.188,推,"給,最後,次,上車,機會,tothemoon","給 VD,最後 Nd,次 Nf,上車 VA,機會 DE,tothemoon Na",1,歐印 - 現在 - allin - 自由 - 財富 - 進場 - 上車 - 可以 - 時候 - 機會,1.0,26,上車 - 機會 - 最後 - 不快 - 來不及 - 再說 - 漲回 - 早上 - 超級 - 有錢人,1.0
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,10:04:56,2022/6/14,玩虛擬幣的跳樓剛好,2022/06 / 14 ,6月14日,10:04:56,60.250.203.98,推,"玩,虛擬幣,跳樓,剛好","玩 VC,虛擬幣 Na,跳樓 DE,剛好 VA",3,虛擬貨幣 - 虛擬幣 - 騙局 - 詐騙 - 虛擬 - 東西 - 問題 - 白癡 - 法幣 - 被騙,0.19469167507047394,7,虛擬貨幣 - 虛擬幣 - 虛擬 - 法幣 - 換成 - 鬱金香 - 價值 - 實體 - 持有 - 垃圾,0.18680055780084376
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,10:28,2022/6/14,早就賺爛了怎麼來怎麼去,2022/06 / 14 ,6月14日,10:28,42.72.240.155,推,"早,就,賺爛,怎麼,來,怎麼,去","早 D,就 D,賺爛 VC,怎麼 Di,來 D,怎麼 D,去 D",6,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,0.23449263040074494,3,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,0.18847341953275315
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,10:04:56,2022/6/14,跌到再說,2022/06 / 14 ,6月14日,10:04:56,36.231.116.139,推,"跌到,再,說","跌到 VCL,再 D,說 VE",7,顯卡 - 跌到 - 便宜 - 跌破 - 正常 - 繼續 - 價格 - 下去 - 崩潰 - 終於,1.0,11,跌到 - 跌破 - 繼續 - 崩潰 - 下去 - 舒服 - 意外 - 崩盤 - 不好 - 以下,1.0
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,19:29,2022/6/14,說得好像我有錢買比特幣一樣,2022/06 / 14 ,6月14日,19:29,118.165.169.93,推,"說,得,好像,有錢,買,比特幣,一樣","說 VE,得 DE,好像 D,有錢 VH,買 VC,比特幣 Na,一樣 VH",0,比特幣 - 美金 - 交易所 - 股票 - 貨幣 - 美元 - 交易 - 投資 - 價值 - 銀行,0.05127861940791916,0,比特幣 - 美金 - 交易所 - 股票 - 美元 - 貨幣 - 交易 - 投資 - 價值 - 銀行,0.025803817283834202
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,19:28:10,2022/6/14,地球資源有限被拿來轉換成這種東西,2022/06 / 14 ,6月14日,19:28:10,1.169.63.134,推,"地球,資源,有限,被,拿來,轉換成,種,東西","地球 Na,資源 Na,有限 VH,被 P,拿來 VC,轉換成 VG,種 Nf,東西 Na",6,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,1.0,3,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,1.0
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,19:33,2022/6/14,之前不就跌過了還不是又漲回去,2022/06 / 14 ,6月14日,19:33,118.232.4.20,推,"之前,不,就,跌,過,還不是,又,漲回去","之前 Nd,不 D,就 D,跌 VA,過 Di,還不是 Di,又 D,漲回去 D",0,比特幣 - 美金 - 交易所 - 股票 - 貨幣 - 美元 - 交易 - 投資 - 價值 - 銀行,0.18048637794105957,0,比特幣 - 美金 - 交易所 - 股票 - 美元 - 貨幣 - 交易 - 投資 - 價值 - 銀行,0.14492418622840833
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,19:28:10,2022/6/14,刺激,2022/06 / 14 ,6月14日,19:28:10,42.79.129.123,推,刺激,刺激 VH,2,韭菜 - 台灣 - 收割 - nft - 跳樓 - 還是 - 應該 - 抄底 - 割完 - 看看,0.43918214843501824,12,nft - 加碼 - 表示 - qq - 定存 - gg - 中肯 - 名言 - 等級 - luna幣,0.4130121148578421
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,19:37,2022/6/14,本來就不值錢,2022/06 / 14 ,6月14日,19:37,98.37.244.221,推,"本來,就,不值錢","本來 D,就 D,不值錢 VH",0,比特幣 - 美金 - 交易所 - 股票 - 貨幣 - 美元 - 交易 - 投資 - 價值 - 銀行,0.23183981763215283,0,比特幣 - 美金 - 交易所 - 股票 - 美元 - 貨幣 - 交易 - 投資 - 價值 - 銀行,0.23183981763215283
gamesame7711 (框框愛安安),[爆卦] 比特幣被殺爆,2022,6,14,19:28:10,2022/6/14,爽喔,2022/06 / 14 ,6月14日,19:28:10,223.136.233.200,推,"爽,喔","爽 VH,喔 T",9,真的 - 可以 - 哈哈 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.21248629902776978,4,真的 - 哈哈 - 可以 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.18084627866372122
